ticker,name,sector,fy,ocf,capex_ppe,capex_intangible,capex,fcf,marcap,pfr
005930,삼성전자,반도체_메모리,2025,85315148000000.0,47522179000000.0,4630970000000.0,52153149000000.0,33161999000000.0,1359259776360000.0,40.99
000660,SK하이닉스,반도체_메모리,2025,53373126000000.0,27518924000000.0,1060419000000.0,28579343000000.0,24793783000000.0,1031280322155000.0,41.59
402340,SK스퀘어,기타,2025,387202000000.0,23145000000.0,15489000000.0,38634000000.0,348568000000.0,130770760526000.0,375.17
373220,LG에너지솔루션,2차전지_셀,2025,4432277000000.0,10833917000000.0,164758000000.0,10998675000000.0,-6566398000000.0,110448000000000.0,
005380,현대차,자동차_완성차,2025,-5991270000000.0,8366764000000.0,2703092000000.0,11069856000000.0,-17061126000000.0,110364435874000.0,
034020,두산에너빌리티,원자력,2025,751801000000.0,403095000000.0,295016000000.0,698111000000.0,53690000000.0,81479377771200.0,1517.59
012450,한화에어로스페이스,방산,2025,4049804576000.0,1710503200000.0,283579185000.0,1994082385000.0,2055722191000.0,75540382465000.0,36.75
329180,HD현대중공업,조선,2025,3510392442000.0,511943688000.0,29546150000.0,541489838000.0,2968902604000.0,71373633000000.0,24.04
207940,삼성바이오로직스,바이오_CDMO,2025,2247807426551.0,1391740885639.0,83332629654.0,1475073515293.0,772733911258.0,68742062235000.0,88.96
009150,삼성전기,전자부품,2025,1490090883051.0,1192112995578.0,54210548833.0,1246323544411.0,243767338640.0,68568812928000.0,281.29
000270,기아,자동차_완성차,2025,9054140000000.0,3764508000000.0,1228561000000.0,4993069000000.0,4061071000000.0,60123601692000.0,14.8
105560,KB금융,은행,2025,4226378000000.0,333440000000.0,221529000000.0,554969000000.0,3671409000000.0,58835801799000.0,16.03
006400,삼성SDI,2차전지_셀,2025,792385760879.0,3066850926743.0,62253384372.0,3129104311115.0,-2336718550236.0,56812798650000.0,
032830,삼성생명,보험,2025,5256261000000.0,36441000000.0,133203000000.0,169644000000.0,5086617000000.0,53000000000000.0,10.42
028260,삼성물산,지주사,2025,3023741373868.0,1736393846854.0,169135875846.0,1905529722700.0,1118211651168.0,51894073920000.0,46.41
267260,HD현대일렉트릭,기타,2025,959572657325.0,233500152700.0,8414637601.0,241914790301.0,717657867024.0,46825228365000.0,65.25
055550,신한지주,은행,2025,9730881000000.0,258659000000.0,378410000000.0,637069000000.0,9093812000000.0,46516127378000.0,5.12
010120,LS ELECTRIC,기타,2025,299948385888.0,200850433496.0,8716133787.0,209566567283.0,90381818605.0,44100000000000.0,487.93
068270,셀트리온,바이오_CDMO,2025,646050776661.0,108223875636.0,223510374817.0,331734250453.0,314316526208.0,43899388025800.0,139.67
042660,한화오션,조선,2025,1314671582302.0,709619704392.0,7002548692.0,716622253084.0,598049329218.0,40752981402000.0,68.14
005490,POSCO홀딩스,철강,2025,4571910292218.0,5665150778832.0,576029453839.0,6241180232671.0,-1669269940453.0,39779246554000.0,
298040,효성중공업,기타,2025,493009624019.0,162909245075.0,15601447279.0,178510692354.0,314498931665.0,39424188944000.0,125.36
006800,미래에셋증권,증권,2025,-6860961000000.0,44782000000.0,8911000000.0,53693000000.0,-6914654000000.0,39337551664000.0,
