ticker,period,period_type,is_estimate,metric,value,name,sector
005930,2023.12,annual,0,revenue,2589355.0,삼성전자,반도체_메모리
005930,2024.12,annual,0,revenue,3008709.0,삼성전자,반도체_메모리
005930,2025.12,annual,0,revenue,3336059.0,삼성전자,반도체_메모리
005930,2026.12,annual,1,revenue,6250520.0,삼성전자,반도체_메모리
005930,2024.12,quarterly,0,revenue,757883.0,삼성전자,반도체_메모리
005930,2025.03,quarterly,0,revenue,791405.0,삼성전자,반도체_메모리
005930,2025.06,quarterly,0,revenue,745663.0,삼성전자,반도체_메모리
005930,2025.09,quarterly,0,revenue,860617.0,삼성전자,반도체_메모리
005930,2025.12,quarterly,0,revenue,938374.0,삼성전자,반도체_메모리
005930,2026.03,quarterly,1,revenue,1171336.0,삼성전자,반도체_메모리
005930,2023.12,annual,0,operating_profit,65670.0,삼성전자,반도체_메모리
005930,2024.12,annual,0,operating_profit,327260.0,삼성전자,반도체_메모리
005930,2025.12,annual,0,operating_profit,436010.0,삼성전자,반도체_메모리
005930,2026.12,annual,1,operating_profit,3058504.0,삼성전자,반도체_메모리
005930,2024.12,quarterly,0,operating_profit,64927.0,삼성전자,반도체_메모리
005930,2025.03,quarterly,0,operating_profit,66853.0,삼성전자,반도체_메모리
005930,2025.06,quarterly,0,operating_profit,46761.0,삼성전자,반도체_메모리
005930,2025.09,quarterly,0,operating_profit,121661.0,삼성전자,반도체_메모리
005930,2025.12,quarterly,0,operating_profit,200737.0,삼성전자,반도체_메모리
005930,2026.03,quarterly,1,operating_profit,381166.0,삼성전자,반도체_메모리
005930,2023.12,annual,0,net_profit,154871.0,삼성전자,반도체_메모리
005930,2024.12,annual,0,net_profit,344514.0,삼성전자,반도체_메모리
005930,2025.12,annual,0,net_profit,452068.0,삼성전자,반도체_메모리
005930,2026.12,annual,1,net_profit,2459287.0,삼성전자,반도체_메모리
005930,2024.12,quarterly,0,net_profit,77544.0,삼성전자,반도체_메모리
005930,2025.03,quarterly,0,net_profit,82229.0,삼성전자,반도체_메모리
005930,2025.06,quarterly,0,net_profit,51164.0,삼성전자,반도체_메모리
005930,2025.09,quarterly,0,net_profit,122257.0,삼성전자,반도체_메모리
005930,2025.12,quarterly,0,net_profit,196417.0,삼성전자,반도체_메모리
005930,2026.03,quarterly,1,net_profit,314258.0,삼성전자,반도체_메모리
005930,2023.12,annual,0,op_margin,2.54,삼성전자,반도체_메모리
005930,2024.12,annual,0,op_margin,10.88,삼성전자,반도체_메모리
005930,2025.12,annual,0,op_margin,13.07,삼성전자,반도체_메모리
005930,2026.12,annual,1,op_margin,48.93,삼성전자,반도체_메모리
005930,2024.12,quarterly,0,op_margin,8.57,삼성전자,반도체_메모리
005930,2025.03,quarterly,0,op_margin,8.45,삼성전자,반도체_메모리
005930,2025.06,quarterly,0,op_margin,6.27,삼성전자,반도체_메모리
005930,2025.09,quarterly,0,op_margin,14.14,삼성전자,반도체_메모리
005930,2025.12,quarterly,0,op_margin,21.39,삼성전자,반도체_메모리
005930,2026.03,quarterly,1,op_margin,32.54,삼성전자,반도체_메모리
005930,2023.12,annual,0,net_margin,5.98,삼성전자,반도체_메모리
005930,2024.12,annual,0,net_margin,11.45,삼성전자,반도체_메모리
005930,2025.12,annual,0,net_margin,13.55,삼성전자,반도체_메모리
005930,2026.12,annual,1,net_margin,39.34,삼성전자,반도체_메모리
005930,2024.12,quarterly,0,net_margin,10.23,삼성전자,반도체_메모리
005930,2025.03,quarterly,0,net_margin,10.39,삼성전자,반도체_메모리
005930,2025.06,quarterly,0,net_margin,6.86,삼성전자,반도체_메모리
005930,2025.09,quarterly,0,net_margin,14.21,삼성전자,반도체_메모리
005930,2025.12,quarterly,0,net_margin,20.93,삼성전자,반도체_메모리
005930,2026.03,quarterly,1,net_margin,26.83,삼성전자,반도체_메모리
005930,2023.12,annual,0,roe,4.15,삼성전자,반도체_메모리
005930,2024.12,annual,0,roe,9.03,삼성전자,반도체_메모리
005930,2025.12,annual,0,roe,10.85,삼성전자,반도체_메모리
005930,2026.12,annual,1,roe,45.55,삼성전자,반도체_메모리
005930,2024.12,quarterly,0,roe,9.03,삼성전자,반도체_메모리
005930,2025.03,quarterly,0,roe,9.24,삼성전자,반도체_메모리
005930,2025.06,quarterly,0,roe,7.95,삼성전자,반도체_메모리
005930,2025.09,quarterly,0,roe,8.37,삼성전자,반도체_메모리
005930,2025.12,quarterly,0,roe,10.85,삼성전자,반도체_메모리
005930,2026.03,quarterly,1,roe,,삼성전자,반도체_메모리
005930,2023.12,annual,0,debt_ratio,25.36,삼성전자,반도체_메모리
005930,2024.12,annual,0,debt_ratio,27.93,삼성전자,반도체_메모리
005930,2025.12,annual,0,debt_ratio,29.94,삼성전자,반도체_메모리
