ticker,name,sector,updated,actual_period,est_period,q_period,q_est_period,per,pbr,eps,bps,roe,op_margin,net_margin,dividend_yield,payout_ratio,debt_ratio,revenue,operating_profit,net_profit,per_est,pbr_est,eps_est,bps_est,roe_est,op_margin_est,net_margin_est,dividend_yield_est,payout_ratio_est,debt_ratio_est,revenue_est,operating_profit_est,net_profit_est,per_q,pbr_q,eps_q,bps_q,roe_q,op_margin_q,net_margin_q,dividend_yield_q,payout_ratio_q,debt_ratio_q,revenue_q,operating_profit_q,net_profit_q,per_q_est,pbr_q_est,eps_q_est,bps_q_est,roe_q_est,op_margin_q_est,net_margin_q_est,dividend_yield_q_est,payout_ratio_q_est,debt_ratio_q_est,revenue_q_est,operating_profit_q_est,net_profit_q_est
005930,삼성전자,반도체_메모리,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,18.27,1.87,6564.0,63997.0,10.85,13.07,13.55,1.39,25.1,29.94,3336059.0,436010.0,452068.0,6.45,2.65,42769.0,104321.0,51.43,51.37,41.89,,,,6811040.0,3498882.0,2853213.0,18.27,1.87,2864.0,63997.0,10.85,21.39,20.93,0.47,19.46,29.94,938374.0,200737.0,196417.0,35.15,,5298.0,,,32.54,26.83,,,,1171336.0,381166.0,314258.0
000660,SK하이닉스,반도체_메모리,2026-05-22 05:01,2025.12,2026.12,2026.03,2026.06,11.04,3.73,58955.0,174538.0,44.15,48.59,44.21,0.46,4.88,45.95,971467.0,472063.0,429479.0,5.9,3.7,295733.0,472233.0,94.56,76.11,62.02,,,,3351990.0,2551055.0,2078990.0,7.8,3.39,56066.0,237789.0,61.16,71.54,76.74,0.05,0.66,35.56,525763.0,376103.0,403459.0,25.06,,69623.0,,,76.49,57.05,,,,814413.0,622947.0,464591.0
042700,한미반도체,반도체_메모리,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,57.05,17.51,2233.0,7278.0,34.76,43.59,37.11,0.63,35.46,17.82,5767.0,2514.0,2140.0,,,,,,,,,,,,,,57.05,17.51,303.0,7278.0,34.76,33.28,34.76,0.63,262.95,17.82,830.0,276.0,289.0,,,,,,,,,,,,,
240810,원익IPS,반도체_장비,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,39.66,3.41,1712.0,19936.0,9.05,8.11,9.24,0.29,11.58,20.06,9098.0,738.0,840.0,31.5,4.8,3552.0,23290.0,16.58,14.66,13.32,,,,13086.0,1918.0,1743.0,39.66,3.41,668.0,19936.0,9.05,6.26,11.93,0.29,29.66,20.06,2750.0,172.0,328.0,1874.26,,62.0,,,1.79,7.18,,,,1756.0,32.0,126.0
036930,주성엔지니어링,반도체_장비,2026-05-22 05:01,2025.12,2026.12,2026.03,2026.06,36.68,2.14,755.0,12922.0,6.17,10.06,11.49,0.19,6.78,50.37,3107.0,313.0,357.0,128.37,12.46,1391.0,14324.0,10.41,19.32,18.48,,,,3508.0,678.0,648.0,422.12,4.73,-25.0,12842.0,1.16,-12.81,-2.17,0.19,-51.57,48.58,549.0,-70.0,-12.0,1349.09,,132.0,,,13.09,10.1,,,,634.0,83.0,64.0
319660,피에스케이,반도체_장비,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,13.61,1.98,2712.0,18606.0,15.54,19.36,17.18,1.84,14.64,19.84,4572.0,885.0,785.0,25.46,4.79,4203.0,22320.0,20.54,23.41,20.13,,,,6120.0,1433.0,1232.0,13.61,1.98,668.0,18606.0,15.54,15.35,13.57,1.84,75.33,19.84,1427.0,219.0,194.0,105.8,,983.0,,,24.64,21.96,,,,1307.0,322.0,287.0
005290,동진쎄미켐,반도체_소재,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,19.02,1.74,1927.0,21091.0,9.52,14.44,7.88,1.77,33.71,82.11,11941.0,1724.0,941.0,,,,,,,,,,,,,,19.02,1.74,605.0,21091.0,9.52,13.46,9.48,1.77,107.4,82.11,3092.0,416.0,293.0,,,,,,,,,,,,,
357780,솔브레인,반도체_소재,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,25.78,1.9,10164.0,137853.0,7.66,14.47,9.1,0.9,22.77,30.15,9234.0,1336.0,840.0,19.69,2.51,19905.0,155900.0,13.76,18.5,14.95,,,,10760.0,1991.0,1608.0,25.78,1.9,1375.0,137853.0,7.66,17.64,4.36,0.9,168.33,30.15,2440.0,430.0,106.0,96.86,,4759.0,,,18.06,,,,,2526.0,456.0,
104830,원익머트리얼즈,반도체_소재,2026-05-22 05:01,2025.12,2026.12,2026.03,2026.06,8.0,0.74,3863.0,41679.0,9.68,17.52,15.1,1.62,12.94,21.37,3225.0,565.0,487.0,9.4,0.95,4656.0,45832.0,10.64,18.79,15.58,,,,3768.0,708.0,587.0,9.88,0.94,1146.0,42403.0,9.97,17.8,16.38,1.62,44.76,24.58,882.0,157.0,144.0,42.11,,1039.0,,,18.58,15.39,,,,910.0,169.0,140.0
067310,하나마이크론,반도체_후공정,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,44.79,4.29,575.0,6007.0,9.89,8.32,4.27,0.27,12.19,209.16,15344.0,1277.0,656.0,20.14,5.69,2344.0,8299.0,32.78,14.08,8.8,,,,21620.0,3044.0,1903.0,44.79,4.29,342.0,6007.0,9.89,10.52,8.03,0.27,20.5,209.16,4501.0,473.0,361.0,182.23,,235.0,,,11.35,,,,,4894.0,556.0,
036540,SFA반도체,반도체_후공정,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,-39.5,1.59,-116.0,2884.0,-3.93,-5.34,-5.21,,,16.21,3674.0,-196.0,-191.0,67.88,2.58,115.0,3013.0,3.9,4.35,3.66,,,,5147.0,224.0,188.0,-39.5,1.59,-7.0,2884.0,-3.93,-0.49,-0.96,,,16.21,1196.0,-6.0,-12.0,864.44,,10.0,,,2.2,1.41,,,,1138.0,25.0,16.0
033640,네패스,반도체_후공정,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,21.69,2.91,719.0,5360.0,14.19,4.56,3.87,,,183.67,5214.0,238.0,202.0,128.78,5.29,230.0,5594.0,4.2,7.36,1.27,,,,5498.0,404.0,70.0,16.57,2.91,-105.0,5360.0,18.57,1.09,-0.45,,,183.67,1237.0,14.0,-6.0,,,,,,,,,,,,,
373220,LG에너지솔루션,2차전지_셀,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,-80.38,4.27,-4585.0,86391.0,-5.19,5.69,0.34,,,129.0,236718.0,13461.0,808.0,-317.24,4.56,-1212.0,84311.0,-1.42,3.91,0.94,,,,300704.0,11744.0,2839.0,-80.38,4.27,-3747.0,86391.0,-5.19,-1.99,-12.58,,,129.0,61415.0,-1220.0,-7725.0,-443.41,,-899.0,,,-2.06,-5.69,,,,58399.0,-1205.0,-3323.0
006400,삼성SDI,2차전지_셀,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,-32.37,0.99,-8325.0,272486.0,-3.15,-12.98,-4.41,0.4,11.17,79.27,132667.0,-17224.0,-5849.0,108.08,2.0,5274.0,284789.0,1.98,-0.33,3.16,,,,155611.0,-506.0,4925.0,-32.37,0.99,-3945.0,272486.0,-3.15,-7.75,-5.39,0.4,-29.55,79.27,38587.0,-2992.0,-2078.0,-311.45,,-2058.0,,,-7.42,-4.81,,,,34712.0,-2576.0,-1671.0
096770,SK이노베이션,2차전지_셀,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,-4.81,0.78,-21056.0,129847.0,-14.42,0.56,-6.77,1.79,-13.17,190.2,802961.0,4487.0,-54364.0,10.2,0.79,11329.0,145940.0,8.32,4.61,2.17,,,,1004927.0,46323.0,21778.0,-4.81,0.78,-13146.0,129847.0,-14.42,1.75,-21.67,1.79,-29.82,190.2,193097.0,3374.0,-41844.0,16.5,,8162.0,,,8.46,5.41,,,,242591.0,20514.0,13118.0
247540,에코프로비엠,2차전지_양극재,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,364.17,8.29,403.0,17677.0,2.29,5.66,3.62,0.07,24.85,142.16,25316.0,1433.0,916.0,438.68,10.1,403.0,17499.0,2.29,3.69,1.64,,,,30424.0,1121.0,500.0,364.17,8.29,193.0,17677.0,2.29,8.36,3.67,0.07,51.71,142.16,4970.0,416.0,182.0,-4787.43,,-43.0,,,1.76,-0.42,,,,5556.0,98.0,-23.0
003670,포스코퓨처엠,2차전지_양극재,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,485.02,4.09,386.0,45731.0,0.92,1.12,1.24,0.13,68.92,102.65,29387.0,328.0,365.0,958.81,4.82,226.0,44962.0,0.5,2.64,0.68,,,,33670.0,888.0,228.0,485.02,4.09,-264.0,45731.0,0.92,-9.28,-4.18,0.13,-94.61,102.65,5576.0,-518.0,-233.0,2513.77,,100.0,,,0.93,0.72,,,,6215.0,58.0,45.0
066970,엘앤에프,2차전지_양극재,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,-6.61,5.45,-14393.0,17482.0,-76.95,-7.28,-24.81,,,363.06,21549.0,-1568.0,-5347.0,-522.49,8.88,-284.0,16728.0,-1.73,6.94,-0.35,,,,32576.0,2262.0,-114.0,-6.61,5.45,-4894.0,17482.0,-76.95,13.35,-31.17,,,363.06,6178.0,825.0,-1926.0,532.96,,372.0,,,9.01,2.24,,,,6734.0,607.0,151.0
121600,나노신소재,2차전지_음극재소재,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,373.0,2.41,134.0,20762.0,0.66,4.19,1.46,0.5,183.21,84.11,1117.0,47.0,16.0,87.74,3.01,735.0,21405.0,3.58,8.86,6.2,,,,1468.0,130.0,91.0,373.0,2.41,99.0,20762.0,0.66,5.69,4.21,0.5,246.89,84.11,288.0,16.0,12.0,,,,,,,,,,,,,
014680,한솔케미칼,2차전지_음극재소재,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,17.51,2.29,12993.0,99420.0,14.34,17.67,16.76,1.14,19.25,35.94,8840.0,1562.0,1481.0,18.02,2.44,15348.0,113389.0,15.04,18.87,17.49,,,,9977.0,1882.0,1745.0,17.51,2.29,1457.0,99420.0,14.34,7.59,7.87,1.14,171.69,35.94,2224.0,169.0,175.0,77.01,,3714.0,,,20.2,18.42,,,,2336.0,472.0,430.0
078600,대주전자재료,2차전지_음극재소재,2026-05-22 05:01,2025.12,2026.12,2026.03,2026.06,47.58,3.79,1335.0,16760.0,8.6,8.13,8.21,0.16,7.33,155.9,2546.0,207.0,209.0,101.21,7.78,1342.0,17452.0,8.03,10.78,5.81,,,,3626.0,391.0,211.0,193.47,7.51,-247.0,16783.0,4.15,10.15,-3.88,0.16,48.8,162.96,909.0,92.0,-35.0,285.62,,475.0,,,10.36,,,,,920.0,95.0,
