ticker,name,updated,actual_period,est_period,q_period,q_est_period,per,pbr,eps,bps,roe,op_margin,net_margin,dividend_yield,payout_ratio,debt_ratio,revenue,operating_profit,net_profit,per_est,pbr_est,eps_est,bps_est,roe_est,op_margin_est,net_margin_est,dividend_yield_est,payout_ratio_est,debt_ratio_est,revenue_est,operating_profit_est,net_profit_est,per_q,pbr_q,eps_q,bps_q,roe_q,op_margin_q,net_margin_q,dividend_yield_q,payout_ratio_q,debt_ratio_q,revenue_q,operating_profit_q,net_profit_q,per_q_est,pbr_q_est,eps_q_est,bps_q_est,roe_q_est,op_margin_q_est,net_margin_q_est,dividend_yield_q_est,payout_ratio_q_est,debt_ratio_q_est,revenue_q_est,operating_profit_q_est,net_profit_q_est
221800,유투바이오,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-27.76,1.26,-141.0,3123.0,-4.28,-9.21,-6.42,2.55,-82.48,24.13,256.0,-24.0,-16.0,,,,,,,,,,,,,,-27.76,1.26,-54.0,3123.0,-4.28,-13.66,-10.83,2.55,-199.5,24.13,63.0,-9.0,-7.0,,,,,,,,,,,,,
214370,케어젠,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,191.89,16.51,374.0,4348.0,9.23,28.02,27.61,0.61,106.26,8.85,728.0,204.0,201.0,,,,,,,,,,,,,,191.89,16.51,-61.0,4348.0,9.23,-43.37,-20.12,0.28,-297.86,8.85,163.0,-71.0,-33.0,,,,,,,,,,,,,
217330,싸이토젠,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-16.85,5.85,-534.0,1538.0,-29.34,-31.33,-47.36,,,72.92,261.0,-82.0,-123.0,,,,,,,,,,,,,,-16.85,5.85,-236.0,1538.0,-29.34,-39.06,-83.32,,,72.92,65.0,-26.0,-55.0,,,,,,,,,,,,,
085660,차바이오텍,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-9.57,3.93,-1533.0,3732.0,-37.19,-3.85,-11.57,,,214.81,12683.0,-488.0,-1467.0,,,,,,,,,,,,,,-9.57,3.93,-237.0,3732.0,-37.19,-2.15,-10.19,,,214.81,3465.0,-74.0,-353.0,,,,,,,,,,,,,
293780,압타바이오,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-15.4,5.57,-607.0,1680.0,-32.25,-428.43,-442.04,,,27.22,37.0,-158.0,-163.0,,,,,,,,,,,,,,-15.4,5.57,-240.0,1680.0,-32.25,-569.32,-646.39,,,27.22,10.0,-57.0,-65.0,,,,,,,,,,,,,
200130,콜마비앤에이치,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-16.61,1.02,-771.0,12503.0,-6.04,4.63,-3.94,0.59,-9.32,82.77,5749.0,266.0,-226.0,,,,,,,,,,,,,,-16.61,1.02,-1257.0,12503.0,-6.04,2.17,-30.25,0.52,31.43,82.77,1222.0,26.0,-370.0,,,,,,,,,,,,,
348150,고바이오랩,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-17.74,3.47,-323.0,1653.0,-18.0,-13.93,-10.06,,,85.22,693.0,-97.0,-70.0,,,,,,,,,,,,,,-17.74,3.47,-58.0,1653.0,-18.0,-19.58,-10.4,,,85.22,151.0,-30.0,-16.0,,,,,,,,,,,,,
239610,에이치엘사이언스,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-3.66,0.5,-2210.0,16220.0,-13.46,-66.15,-71.53,,,2.75,167.0,-111.0,-119.0,,,,,,,,,,,,,,-3.66,0.5,-847.0,16220.0,-13.46,-101.57,-195.07,,,2.75,24.0,-24.0,-46.0,,,,,,,,,,,,,
044820,코스맥스비티아이,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,4.46,0.47,3041.0,28837.0,11.08,4.18,2.89,5.75,25.52,240.34,6452.0,270.0,187.0,,,,,,,,,,,,,,4.46,0.47,2323.0,28837.0,11.08,4.24,11.81,5.75,33.41,240.34,1737.0,74.0,205.0,,,,,,,,,,,,,
043710,서울리거,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-7.99,1.97,-102.0,413.0,-23.35,-23.36,-24.51,,,476.58,357.0,-83.0,-87.0,,,,,,,,,,,,,,-7.99,1.97,-44.0,413.0,-23.35,-43.2,-39.01,,,476.58,97.0,-42.0,-38.0,,,,,,,,,,,,,
353190,휴럼,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,23.2,0.63,29.0,1084.0,2.76,1.89,0.97,11.7,271.32,113.82,990.0,19.0,10.0,,,,,,,,,,,,,,23.2,0.63,3.0,1084.0,2.76,4.42,1.38,11.7,2754.42,113.82,235.0,10.0,3.0,,,,,,,,,,,,,
123840,뉴온,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-0.95,0.6,-1022.0,1603.0,-39.37,-27.78,-80.57,,,26.2,482.0,-134.0,-388.0,,,,,,,,,,,,,,-0.95,0.6,-373.0,1603.0,-39.37,-3.99,-187.06,,,26.2,80.0,-3.0,-149.0,,,,,,,,,,,,,
318010,팜스빌,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,9.43,0.4,364.0,8596.0,4.41,-5.29,22.8,5.82,53.51,2.94,127.0,-7.0,29.0,,,,,,,,,,,,,,7.72,0.4,104.0,8596.0,5.39,-11.85,28.03,5.82,187.52,2.94,30.0,-4.0,8.0,,,,,,,,,,,,,
194700,노바렉스,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,7.41,0.98,1888.0,14257.0,14.99,10.65,8.9,2.86,20.05,41.2,4043.0,430.0,360.0,6.85,0.92,2177.0,16165.0,14.81,10.93,8.86,,,,4549.0,497.0,403.0,7.41,0.98,450.0,14257.0,14.99,10.63,8.47,2.86,84.15,41.2,1007.0,107.0,85.0,,,,,,10.46,8.53,,,,1090.0,114.0,93.0
263700,케어랩스,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,2.98,0.83,988.0,3531.0,32.8,-3.52,23.88,,,43.95,817.0,-29.0,195.0,,,,,,,,,,,,,,2.98,0.83,-206.0,3531.0,32.8,-38.17,-27.25,,,43.95,149.0,-57.0,-41.0,,,,,,,,,,,,,
439580,블루엠텍,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-32.91,3.34,-134.0,1325.0,-9.81,-1.06,-2.43,,,145.24,1859.0,-20.0,-45.0,,,,,,,,,,,,,,-32.91,3.34,2.0,1325.0,-9.81,-0.9,0.15,,,145.24,539.0,-5.0,1.0,,,,,,,,,,,,,
222040,코스맥스엔비티,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-4.8,1.63,-729.0,2152.0,-29.61,1.39,-5.24,,,479.33,2875.0,40.0,-151.0,9.31,3.52,533.0,1411.0,30.04,6.88,3.23,,,,3285.0,226.0,106.0,-4.8,1.63,-117.0,2152.0,-29.61,2.4,-3.4,,,479.33,740.0,18.0,-25.0,,,,,,5.95,2.15,,,,790.0,47.0,17.0
180400,DXVX,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-5.35,3.29,-587.0,954.0,-53.82,-82.84,-100.78,,,61.72,294.0,-243.0,-296.0,,,,,,,,,,,,,,-5.35,3.29,-101.0,954.0,-53.82,-38.95,-73.52,,,61.72,76.0,-29.0,-56.0,,,,,,,,,,,,,
357230,에이치피오,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,12.03,0.66,201.0,3681.0,5.69,5.25,3.49,2.89,29.07,33.77,2582.0,135.0,90.0,,,,,,,,,,,,,,12.03,0.66,73.0,3681.0,5.69,6.71,3.27,2.89,80.76,33.77,635.0,43.0,21.0,,,,,,,,,,,,,
144510,지씨셀,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-1.44,2.0,-17269.0,12404.0,-84.71,-8.33,-165.25,0.22,-863.32,59.52,1655.0,-138.0,-2735.0,,,,,,,,,,,,,,-1.44,2.0,-15392.0,12404.0,-84.71,-11.38,-641.2,,,59.52,380.0,-43.0,-2437.0,,,,,,,,,,,,,
226330,신테카바이오,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-4.13,2.97,-943.0,1310.0,-61.27,-313.91,-506.76,,,46.43,34.0,-108.0,-174.0,-36.73,,-87.0,,,-27.27,-27.27,,,,77.0,-21.0,-21.0,-4.13,2.97,-211.0,1310.0,-61.27,-141.55,-227.85,,,46.43,18.0,-25.0,-40.0,-40.6,,-78.0,,,-316.67,-316.67,,,,6.0,-19.0,-19.0
270870,뉴트리,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-19.54,0.44,-263.0,11542.0,-2.3,-2.24,-2.54,,,30.05,1011.0,-23.0,-26.0,,,,,,,,,,,,,,-19.54,0.44,-472.0,11542.0,-2.3,-15.4,-18.4,,,30.05,245.0,-38.0,-45.0,,,,,,,,,,,,,
238200,비피도,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-130.08,0.55,-24.0,5615.0,-0.42,7.13,-0.98,,,33.47,197.0,14.0,-2.0,,,,,,,,,,,,,,-130.08,0.55,-112.0,5615.0,-0.42,7.45,-18.93,,,33.47,48.0,4.0,-9.0,,,,,,,,,,,,,
065170,비엘팜텍,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-0.87,1.85,-629.0,296.0,-104.39,-43.42,-258.04,,,129.52,65.0,-28.0,-168.0,,,,,,,,,,,,,,-0.87,1.85,-518.0,296.0,-104.39,-141.04,-1705.74,,,129.52,8.0,-11.0,-138.0,,,,,,,,,,,,,
377220,프롬바이오,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-1.56,1.25,-793.0,990.0,-57.38,-25.78,-32.15,,,149.61,722.0,-186.0,-232.0,,,,,,,,,,,,,,-1.56,1.25,-375.0,990.0,-57.38,-41.04,-55.11,,,149.61,195.0,-80.0,-108.0,,,,,,,,,,,,,
246960,SCL사이언스,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-19.16,3.2,-120.0,719.0,-19.69,-15.44,-18.72,,,240.13,220.0,-34.0,-41.0,43.92,3.27,50.0,670.0,7.2,1.72,4.87,,,,349.0,6.0,17.0,-19.16,3.2,-71.0,719.0,-19.69,-10.23,-31.21,,,240.13,83.0,-8.0,-26.0,,,,,,,,,,,,,
